"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"18.04.2022","127,77","130,07","130,22","126,82","10,57M","-2,07%"
"14.04.2022","130,47","132,81","133,59","130,35","7,28M","-1,42%"
"13.04.2022","132,35","131,05","132,89","130,75","7,69M","1,15%"
"12.04.2022","130,84","131,81","133,21","130,15","7,89M","0,15%"
"11.04.2022","130,65","130,04","132,43","130,04","9,92M","-0,93%"
"08.04.2022","131,87","132,00","133,12","130,63","6,70M","0,00%"
"07.04.2022","131,87","133,01","133,21","130,02","9,86M","-0,53%"
"06.04.2022","132,57","133,75","133,93","130,81","11,68M","-2,25%"
"05.04.2022","135,62","137,74","139,20","135,13","8,69M","-2,14%"
"04.04.2022","138,58","136,97","139,26","136,89","8,18M","1,15%"
"01.04.2022","137,00","137,34","138,10","135,53","10,34M","-0,12%"
"31.03.2022","137,16","140,14","140,88","137,11","12,31M","-2,70%"
"30.03.2022","140,96","141,31","143,27","140,08","7,92M","-1,00%"
"29.03.2022","142,38","140,96","144,46","140,96","11,28M","2,64%"
"28.03.2022","138,72","138,88","139,63","136,28","8,46M","-0,30%"
"25.03.2022","139,14","139,28","140,38","138,12","5,95M","0,13%"
"24.03.2022","138,96","138,58","139,27","137,41","5,86M","0,96%"
"23.03.2022","137,64","139,07","139,76","137,54","8,76M","-1,76%"
"22.03.2022","140,11","139,06","142,19","138,90","8,51M","1,07%"
"21.03.2022","138,62","138,90","139,30","136,88","9,09M","-1,20%"
"18.03.2022","140,30","139,55","140,73","138,30","11,31M","0,60%"
"17.03.2022","139,47","137,44","139,47","136,56","6,82M","0,96%"
"16.03.2022","138,14","135,65","138,98","134,94","10,64M","2,94%"
"15.03.2022","134,20","129,74","134,56","129,51","9,83M","4,01%"
"14.03.2022","129,03","130,98","133,07","128,38","9,97M","-2,06%"
"11.03.2022","131,75","135,08","136,16","131,57","7,06M","-1,41%"
"10.03.2022","133,64","132,36","134,20","131,62","8,45M","-0,01%"
"09.03.2022","133,65","135,49","135,50","133,36","14,67M","1,44%"
"08.03.2022","131,75","133,02","135,49","129,29","16,55M","-1,31%"
"07.03.2022","133,50","140,28","140,89","133,44","14,55M","-5,13%"
"04.03.2022","140,72","144,01","144,26","139,55","12,93M","-3,33%"
"03.03.2022","145,57","147,31","148,65","144,45","8,05M","-1,20%"
"02.03.2022","147,34","146,31","148,46","145,92","7,85M","1,13%"
"01.03.2022","145,70","147,86","148,15","143,78","8,94M","-1,86%"
"28.02.2022","148,46","147,83","149,48","146,46","10,83M","-0,72%"
"25.02.2022","149,53","149,56","150,28","147,22","10,15M","0,09%"
"24.02.2022","149,40","140,00","149,57","140,00","12,48M","2,42%"
"23.02.2022","145,87","149,50","149,74","145,50","9,30M","-1,50%"
"22.02.2022","148,09","150,19","150,79","147,61","12,23M","-2,16%"
"18.02.2022","151,36","152,91","153,68","150,05","10,79M","-1,04%"
"17.02.2022","152,95","154,69","155,36","152,61","8,11M","-2,17%"
"16.02.2022","156,35","154,98","156,73","153,75","10,66M","1,05%"
"15.02.2022","154,72","153,54","154,85","152,51","12,73M","2,57%"
"14.02.2022","150,85","149,37","153,73","149,21","14,69M","0,92%"
"11.02.2022","149,47","153,54","154,69","148,56","17,98M","-1,77%"
"10.02.2022","152,16","156,02","157,50","151,11","42,50M","3,35%"
"09.02.2022","147,23","144,37","147,35","143,25","22,88M","3,33%"
"08.02.2022","142,48","141,79","142,89","140,74","9,23M","-0,02%"
"07.02.2022","142,51","143,39","144,09","141,61","10,94M","0,35%"
"04.02.2022","142,02","140,04","143,19","139,53","8,06M","1,42%"
"03.02.2022","140,03","140,00","142,04","139,25","9,82M","-1,82%"
"02.02.2022","142,62","144,19","144,59","141,38","9,53M","-1,29%"
"01.02.2022","144,49","143,02","144,69","142,25","8,57M","1,06%"
"31.01.2022","142,97","138,86","143,15","138,47","10,19M","3,13%"
"28.01.2022","138,63","135,21","138,69","133,56","10,01M","2,37%"
"27.01.2022","135,42","135,07","137,91","134,02","11,91M","1,36%"
"26.01.2022","133,60","137,71","138,20","132,26","14,57M","-2,13%"
"25.01.2022","136,51","135,29","137,75","132,38","14,69M","-0,69%"
"24.01.2022","137,46","134,82","137,68","129,26","31,52M","0,06%"
"21.01.2022","137,38","141,23","141,87","136,63","34,49M","-6,94%"
"20.01.2022","147,62","150,90","152,66","147,15","11,76M","-1,66%"
"19.01.2022","150,11","150,84","152,86","149,96","10,41M","-1,42%"
"18.01.2022","152,27","151,11","153,13","149,83","10,43M","0,22%"
"14.01.2022","151,94","152,35","152,62","148,41","16,83M","-2,25%"
"13.01.2022","155,44","157,70","158,53","155,17","9,68M","-1,50%"
"12.01.2022","157,80","158,50","158,99","156,33","7,00M","-0,06%"
"11.01.2022","157,89","156,62","158,22","155,95","8,04M","0,82%"
"10.01.2022","156,60","157,98","158,27","154,65","8,67M","-0,78%"
"07.01.2022","157,83","156,90","159,30","156,29","9,55M","0,59%"
"06.01.2022","156,90","156,24","157,77","153,68","11,10M","1,10%"
"05.01.2022","155,19","156,52","159,38","155,10","12,27M","-0,35%"
"04.01.2022","155,73","158,59","160,32","155,55","16,58M","-0,66%"
"03.01.2022","156,76","155,83","157,56","155,36","10,23M","1,21%"
"31.12.2021","154,89","155,87","156,57","154,74","6,41M","-0,67%"
"30.12.2021","155,93","155,71","157,07","155,51","7,23M","0,68%"
"29.12.2021","154,87","154,56","155,92","154,18","8,74M","-0,21%"
"28.12.2021","155,20","152,62","156,50","152,41","12,20M","1,57%"
"27.12.2021","152,80","152,88","154,02","151,40","7,77M","-0,54%"
"23.12.2021","153,63","152,32","154,19","151,93","6,57M","1,15%"
"22.12.2021","151,88","150,42","152,20","149,87","7,82M","0,55%"
"21.12.2021","151,05","147,56","151,43","147,39","10,78M","3,13%"
"20.12.2021","146,47","146,98","147,73","145,08","11,20M","-1,54%"
"17.12.2021","148,76","148,51","149,84","146,57","13,88M","0,01%"
"16.12.2021","148,75","151,35","152,06","148,58","11,15M","-1,10%"
"15.12.2021","150,40","148,76","150,92","147,35","12,23M","0,87%"
"14.12.2021","149,10","149,26","151,62","148,52","10,87M","-0,88%"
"13.12.2021","150,43","152,12","152,50","149,29","10,20M","-1,49%"
"10.12.2021","152,71","153,58","154,66","151,45","10,25M","-0,15%"
"09.12.2021","152,94","152,27","154,29","151,70","11,86M","-0,26%"
"08.12.2021","153,34","150,91","153,65","150,56","12,89M","1,68%"
"07.12.2021","150,81","151,84","152,76","149,72","14,66M","0,29%"
"06.12.2021","150,37","147,28","150,74","146,67","14,33M","2,84%"
"03.12.2021","146,22","147,81","148,32","144,32","14,98M","-0,67%"
"02.12.2021","147,20","142,84","147,65","142,77","18,18M","3,55%"
"01.12.2021","142,15","146,70","148,37","142,04","16,50M","-1,90%"
"30.11.2021","144,90","146,72","147,28","143,11","26,01M","-1,97%"
"29.11.2021","147,81","148,81","149,30","144,25","21,23M","-0,20%"
"26.11.2021","148,11","146,80","148,85","145,85","12,03M","-2,13%"
"24.11.2021","151,34","150,69","151,41","148,80","14,12M","0,21%"
"23.11.2021","151,03","153,84","154,25","150,19","17,38M","-2,03%"
"22.11.2021","154,16","153,23","155,82","152,57","12,79M","0,10%"
"19.11.2021","154,00","155,02","155,21","152,77","16,78M","-1,02%"
